s443 , baseline , 535
s451 , baseline , 523
s452 , baseline , 465
s453 , baseline , 356
s471s , baseline , 3
s471 , baseline , 585
s481 , baseline , 518
s482 , baseline , 493
s491 , baseline , 458
s4112 , baseline , 454
s4113 , baseline , 402
s4114 , baseline , 687
s4115 , baseline , 376
s4116 , baseline , 402
s4117 , baseline , 421
f , baseline , 5
s4121 , baseline , 401
va , baseline , 139
vag , baseline , 330
vas , baseline , 330
vif , baseline , 319
vpv , baseline , 337
vtv , baseline , 337
vpvtv , baseline , 401
vpvts , baseline , 389
vpvpv , baseline , 401
vtvtv , baseline , 401
vsumr , baseline , 208
vdotr , baseline , 308
vbor , baseline , 456
time_function , baseline , 110
main , baseline , 2018
s000 , reroll , 173
s111 , reroll , 367
s1111 , reroll , 212
s112 , reroll , 340
s1112 , reroll , 319
s113 , reroll , 321
s1113 , reroll , 161
s114 , reroll , 207
s115 , reroll , 367
s1115 , reroll , 214
s116 , reroll , 265
s118 , reroll , 216
s119 , reroll , 397
s1119 , reroll , 196
s121 , reroll , 341
s122 , reroll , 550
s123 , reroll , 740
s124 , reroll , 544
s125 , reroll , 463
s126 , reroll , 424
s127 , reroll , 674
s128 , reroll , 511
s131 , reroll , 341
s132 , reroll , 381
s141 , reroll , 634
s151s , reroll , 172
s151 , reroll , 139
s152s , reroll , 24
s152 , reroll , 185
s161 , reroll , 811
s1161 , reroll , 720
s162 , reroll , 431
s171 , reroll , 174
s172 , reroll , 555
s173 , reroll , 337
s174 , reroll , 193
s175 , reroll , 634
s176 , reroll , 199
s211 , reroll , 639
s212 , reroll , 573
s1213 , reroll , 475
s221 , reroll , 573
s1221 , reroll , 309
s222 , reroll , 573
s231 , reroll , 332
s232 , reroll , 205
s1232 , reroll , 309
s233 , reroll , 574
s2233 , reroll , 583
s235 , reroll , 432
s241 , reroll , 597
s242 , reroll , 512
s243 , reroll , 723
s244 , reroll , 611
s1244 , reroll , 653
s2244 , reroll , 381
s251 , reroll , 173
s1251 , reroll , 197
s2251 , reroll , 532
s3251 , reroll , 635
s252 , reroll , 372
s253 , reroll , 633
s254 , reroll , 361
s255 , reroll , 413
s256 , reroll , 565
s257 , reroll , 449
s258 , reroll , 948
s261 , reroll , 573
s271 , reroll , 447
s272 , reroll , 717
s273 , reroll , 799
s274 , reroll , 687
s275 , reroll , 451
s2275 , reroll , 236
s276 , reroll , 830
s277 , reroll , 877
s278 , reroll , 1103
s279 , reroll , 1343
s1279 , reroll , 615
s2710 , reroll , 1268
s2711 , reroll , 463
s2712 , reroll , 473
s281 , reroll , 497
s1281 , reroll , 221
s291 , reroll , 361
s292 , reroll , 433
s293 , reroll , 221
s2101 , reroll , 171
s2102 , reroll , 194
s2111 , reroll , 426
s311 , reroll , 145
test , reroll , 20
s31111 , reroll , 349
s312 , reroll , 153
s313 , reroll , 160
s314 , reroll , 253
s315 , reroll , 412
s316 , reroll , 250
s317 , reroll , 190
s318 , reroll , 468
s319 , reroll , 199
s3110 , reroll , 500
s13110 , reroll , 500
s3111 , reroll , 403
s3112 , reroll , 276
s3113 , reroll , 297
s321 , reroll , 349
s322 , reroll , 485
s323 , reroll , 571
s331 , reroll , 263
s332 , reroll , 351
s341 , reroll , 372
s342 , reroll , 436
s343 , reroll , 482
s351 , reroll , 326
s1351 , reroll , 337
s352 , reroll , 260
s353 , reroll , 365
s421 , reroll , 346
s1421 , reroll , 190
s422 , reroll , 346
s423 , reroll , 346
s424 , reroll , 348
s431 , reroll , 161
s441 , reroll , 759
s442 , reroll , 777
s443 , reroll , 535
s451 , reroll , 523
s452 , reroll , 465
s453 , reroll , 356
s471s , reroll , 3
s471 , reroll , 196
s481 , reroll , 518
s482 , reroll , 493
s491 , reroll , 181
s4112 , reroll , 205
s4113 , reroll , 174
s4114 , reroll , 687
s4115 , reroll , 183
s4116 , reroll , 402
s4117 , reroll , 421
f , reroll , 5
s4121 , reroll , 169
va , reroll , 139
vag , reroll , 165
vas , reroll , 165
vif , reroll , 319
vpv , reroll , 161
vtv , reroll , 161
vpvtv , reroll , 169
vpvts , reroll , 185
vpvpv , reroll , 169
vtvtv , reroll , 169
vsumr , reroll , 148
vdotr , reroll , 160
vbor , reroll , 456
time_function , reroll , 110
main , reroll , 2018
s000 , rolled , 193
s111 , rolled , 197
s1111 , rolled , 233
s112 , rolled , 263
s1112 , rolled , 230
s113 , rolled , 220
s1113 , rolled , 181
s114 , rolled , 207
s115 , rolled , 373
s1115 , rolled , 225
s116 , rolled , 265
s118 , rolled , 216
s119 , rolled , 301
s1119 , rolled , 223
s121 , rolled , 244
s122 , rolled , 550
s123 , rolled , 740
s124 , rolled , 544
s125 , rolled , 257
s126 , rolled , 333
s127 , rolled , 674
s128 , rolled , 216
s131 , rolled , 244
s132 , rolled , 253
s141 , rolled , 634
s151s , rolled , 86
s151 , rolled , 223
s152s , rolled , 24
s152 , rolled , 213
s161 , rolled , 811
s1161 , rolled , 720
s162 , rolled , 262
s171 , rolled , 195
s172 , rolled , 555
s173 , rolled , 188
s174 , rolled , 193
s175 , rolled , 634
s176 , rolled , 224
s211 , rolled , 639
s212 , rolled , 573
s1213 , rolled , 475
s221 , rolled , 308
s1221 , rolled , 340
s222 , rolled , 305
s231 , rolled , 276
s232 , rolled , 205
s1232 , rolled , 324
s233 , rolled , 518
s2233 , rolled , 528
s235 , rolled , 324
s241 , rolled , 320
s242 , rolled , 316
s243 , rolled , 354
s244 , rolled , 611
s1244 , rolled , 332
s2244 , rolled , 381
s251 , rolled , 199
s1251 , rolled , 222
s2251 , rolled , 532
s3251 , rolled , 339
s252 , rolled , 372
s253 , rolled , 633
s254 , rolled , 361
s255 , rolled , 413
s256 , rolled , 358
s257 , rolled , 243
s258 , rolled , 948
s261 , rolled , 573
s271 , rolled , 447
s272 , rolled , 717
s273 , rolled , 799
s274 , rolled , 687
s275 , rolled , 326
s2275 , rolled , 249
s276 , rolled , 800
s277 , rolled , 877
s278 , rolled , 1103
s279 , rolled , 1343
s1279 , rolled , 615
s2710 , rolled , 1268
s2711 , rolled , 463
s2712 , rolled , 473
s281 , rolled , 236
s1281 , rolled , 246
s291 , rolled , 214
s292 , rolled , 248
s293 , rolled , 221
s2101 , rolled , 202
s2102 , rolled , 206
s2111 , rolled , 426
s311 , rolled , 164
test , rolled , 20
s31111 , rolled , 349
s312 , rolled , 172
s313 , rolled , 180
s314 , rolled , 253
s315 , rolled , 412
s316 , rolled , 250
s317 , rolled , 170
s318 , rolled , 468
s319 , rolled , 326
s3110 , rolled , 500
s13110 , rolled , 500
s3111 , rolled , 403
s3112 , rolled , 195
s3113 , rolled , 297
s321 , rolled , 241
s322 , rolled , 485
s323 , rolled , 571
s331 , rolled , 263
s332 , rolled , 351
s341 , rolled , 372
s342 , rolled , 436
s343 , rolled , 482
s351 , rolled , 216
s1351 , rolled , 193
s352 , rolled , 190
s353 , rolled , 231
s421 , rolled , 269
s1421 , rolled , 212
s422 , rolled , 217
s423 , rolled , 253
s424 , rolled , 254
s431 , rolled , 182
s441 , rolled , 759
s442 , rolled , 777
s443 , rolled , 535
s451 , rolled , 231
s452 , rolled , 216
s453 , rolled , 219
s471s , rolled , 3
s471 , rolled , 220
s481 , rolled , 518
s482 , rolled , 493
s491 , rolled , 205
s4112 , rolled , 228
s4113 , rolled , 192
s4114 , rolled , 373
s4115 , rolled , 205
s4116 , rolled , 402
s4117 , rolled , 215
f , rolled , 5
s4121 , rolled , 195
va , rolled , 139
vag , rolled , 183
vas , rolled , 183
vif , rolled , 319
vpv , rolled , 182
vtv , rolled , 182
